"","Gene","count","Disease_specificity"
"166","CYP19A1",152,0.0333699231613611
"167","TRNF",446,0.0979143798024149
"168","IFT57",113,0.024807903402854
"169","SHH",1586,0.348188803512623
"170","SH2B1",291,0.0638858397365532
"171","MKRN3-AS1",270,0.0592755214050494
"172","DVL1",703,0.154335894621295
"173","MFSD2A",169,0.0371020856201976
"174","SMOC1",443,0.0972557628979144
"175","EEF1A2",390,0.0856201975850713
"176","MRAS",280,0.0614709110867179
"177","PLOD1",386,0.0847420417124039
"178","COL6A2",522,0.114599341383095
"179","ZBTB20",374,0.0821075740944018
"180","SPRTN",95,0.0208562019758507
"181","POLR3A",1050,0.230515916575192
"182","LTBP2",199,0.0436882546652031
"183","ALDH3A2",170,0.0373216245883644
"184","FIG4",963,0.211416026344676
"185","PGM1",109,0.0239297475301866
"186","RFT1",207,0.0454445664105379
"187","NPR2",246,0.054006586169045
"188","RAB3GAP2",721,0.158287596048299
"189","SMARCA4",412,0.090450054884742
"190","KIF23",67,0.0147091108671789
"191","TPM2",1109,0.243468715697036
"192","HLA-DQB1",373,0.0818880351262349
"193","TKT",175,0.0384193194291987
"194","HRAS",862,0.189242590559824
"195","DNMT3B",298,0.0654226125137212
"196","IFT43",343,0.0753018660812294
"197","GTF2I",568,0.124698133918771
"198","FANCI",553,0.121405049396268
"199","LMX1B",600,0.13172338090011
"200","SULT2B1",95,0.0208562019758507
"201","THG1L",63,0.0138309549945115
"202","PPP1CB",312,0.0684961580680571
"203","GHR",241,0.0529088913282108
"204","GNAS",1631,0.358068057080132
"205","HPGD",338,0.0742041712403952
"206","KCNA2",303,0.0665203073545554
"207","PKDCC",163,0.0357848518111965
"208","INPPL1",392,0.086059275521405
"209","RAF1",649,0.142480790340285
"210","ABCB6",91,0.0199780461031833
"211","ALOXE3",260,0.0570801317233809
"212","RMRP",698,0.153238199780461
"213","MRPS22",229,0.0502744237102086
"214","FAT4",749,0.16443468715697
"215","RTL1",1011,0.221953896816685
"216","HACE1",271,0.0594950603732162
"217","MAB21L2",89,0.0195389681668496
"218","DIS3L2",357,0.0783754116355653
"219","EED",337,0.0739846322722283
"220","FGFR1",2405,0.527991218441273
"221","DYRK1A",721,0.158287596048299
"222","DLL1",1211,0.265861690450055
"223","MAP2K1",572,0.125576289791438
"224","SOHLH1",65,0.0142700329308452
"225","HMGA2",381,0.0836443468715697
"226","UROC1",100,0.021953896816685
"227","RAB33B",84,0.0184412733260154
"228","ZIC2",1246,0.273545554335895
"229","COL27A1",56,0.0122941822173436
"230","RBBP8",336,0.0737650933040615
"231","ZDHHC9",202,0.0443468715697036
"232","FBN2",291,0.0638858397365532
"233","PLK4",312,0.0684961580680571
"234","TRNL1",841,0.184632272228321
"235","WRN",287,0.0630076838638858
"236","SRCAP",386,0.0847420417124039
"237","EIF2S3",271,0.0594950603732162
"238","PNPLA2",213,0.046761800219539
"239","KLLN",237,0.0520307354555434
"240","TRAPPC6B",77,0.0169045005488474
"241","PUF60",824,0.180900109769484
"242","KMT2B",76,0.0166849615806806
"243","UFC1",78,0.0171240395170143
"244","SIL1",297,0.0652030735455543
"245","NKX3-2",98,0.0215148188803513
"246","IPW",270,0.0592755214050494
"247","SEMA3C",70,0.0153677277716795
"248","UBR1",410,0.0900109769484083
"249","GTF2H5",401,0.0880351262349067
"250","INSR",707,0.155214050493963
"251","BNC1",139,0.0305159165751921
"252","MKKS",426,0.0935236004390779
"253","PHKA2",183,0.0401756311745335
"254","NKX2-1",347,0.0761800219538968
"255","GATM",182,0.0399560922063666
"256","TGFB2",309,0.0678375411635565
"257","TUBGCP6",177,0.0388583973655324
"258","PEX12",625,0.137211855104281
"259","GJB6",415,0.0911086717892426
"260","CBS",312,0.0684961580680571
"261","POGZ",395,0.0867178924259056
"262","FIBP",329,0.0722283205268935
"263","KCNJ10",311,0.0682766190998902
"264","KLF1",78,0.0171240395170143
"265","ADAMTS2",300,0.0658616904500549
"266","NALCN",771,0.169264544456641
"267","PEX2",747,0.163995609220637
"268","SLC35D1",223,0.0489571899012075
"269","BRCA2",728,0.159824368825467
"270","PALB2",597,0.131064763995609
"271","NF1",1316,0.288913282107574
"272","MYL2",229,0.0502744237102086
"273","NSUN2",545,0.119648737650933
"274","NXN",466,0.102305159165752
"275","HYAL1",75,0.0164654226125137
"276","CLCN5",279,0.061251372118551
"277","TBL2",568,0.124698133918771
"278","XYLT2",345,0.0757409440175631
"279","MBD5",420,0.0922063666300768
"280","TBX4",350,0.0768386388583974
"281","MED12L",306,0.067178924259056
"282","AP1S2",325,0.0713501646542261
"283","LAGE3",259,0.0568605927552141
"284","LIFR",415,0.0911086717892426
"285","USB1",327,0.0717892425905598
"286","PPP3CA",408,0.0895718990120746
"287","EXTL3",541,0.118770581778266
"288","ZBTB16",237,0.0520307354555434
"289","NCAPG2",188,0.0412733260153677
"290","DNAJC21",537,0.117892425905598
"291","SMARCC2",353,0.0774972557628979
"292","FARSB",179,0.0392974753018661
"293","PEX10",670,0.147091108671789
"294","ND6",644,0.141383095499451
"295","FLNA",2349,0.51569703622393
"296","LOX",220,0.0482985729967069
"297","NSD2",685,0.150384193194292
"298","SHOX",484,0.106256860592755
"299","EXT1",391,0.0858397365532382
"300","KIAA0586",624,0.136992316136114
"301","IHH",478,0.104939626783754
"302","TXNRD2",189,0.0414928649835346
"303","TP53",880,0.193194291986828
"304","FGD1",392,0.086059275521405
"305","ALDH18A1",909,0.199560922063666
"306","ATRX",877,0.192535675082327
"307","IGF2",875,0.192096597145993
"308","CDC45",389,0.0854006586169045
"309","HSD17B4",323,0.0709110867178924
"310","INPP5K",235,0.0515916575192097
"311","DHDDS",377,0.0827661909989023
"312","TXNL4A",165,0.0362239297475302
"313","HESX1",669,0.146871569703622
"314","TTI2",207,0.0454445664105379
"315","CDK5RAP2",128,0.0281009879253568
"316","DNMT3A",510,0.111964873765093
"317","NTNG1",412,0.090450054884742
"318","SLC39A8",261,0.0572996706915477
"319","SBDS",430,0.0944017563117453
"320","DVL3",731,0.160482985729967
"321","PEX1",1022,0.22436882546652
"322","SLC25A24",619,0.13589462129528
"323","FANCE",515,0.113062568605928
"324","ACD",208,0.0456641053787047
"325","HDAC6",225,0.0493962678375412
"326","B3GALT6",796,0.174753018660812
"327","POLE",334,0.0733260153677278
"328","ACTB",659,0.144676180021954
"329","LFNG",204,0.0447859495060373
"330","GLI3",1326,0.291108671789243
"331","POR",598,0.131284302963776
"332","ARSB",181,0.0397365532381998
"333","RPS27",262,0.0575192096597146
"334","TGFBR2",731,0.160482985729967
"335","SMPD1",373,0.0818880351262349
"336","RNR1",48,0.0105378704720088
"337","TRIM32",271,0.0594950603732162
"338","IDUA",779,0.171020856201976
"339","FANCB",783,0.171899012074643
"340","LSS",226,0.049615806805708
"341","MAP2K2",487,0.106915477497256
"342","MKRN3",283,0.0621295279912184
"343","SLC39A13",316,0.0693743139407245
"344","TCF20",419,0.09198682766191
"345","MED13",361,0.0792535675082327
"346","COL11A2",579,0.127113062568606
"347","ADAMTS10",208,0.0456641053787047
"348","P3H1",109,0.0239297475301866
"349","LMNA",2875,0.631174533479693
"350","PSMB8",310,0.0680570801317234
"351","DISP1",1154,0.253347969264544
"352","ATP6",628,0.137870472008782
"353","RPL35A",311,0.0682766190998902
"354","CENPE",217,0.0476399560922064
"355","PTCH1",1864,0.409220636663008
"356","TTC37",394,0.0864983534577387
"357","FANCG",418,0.0917672886937431
"358","IGF1",240,0.0526893523600439
"359","EXT2",562,0.123380900109769
"360","PSMC3IP",115,0.0252469813391877
"361","ARSL",316,0.0693743139407245
"362","GDF5",1469,0.322502744237102
"363","MSTO1",326,0.071569703622393
"364","INVS",139,0.0305159165751921
"365","SOX11",385,0.0845225027442371
