"","Gene","count","Disease_specificity"
"722","CTDP1",293,0.0643249176728869
"723","RINT1",102,0.0223929747530187
"724","BBS4",189,0.0414928649835346
"725","ANTXR2",257,0.0564215148188804
"726","COX7B",494,0.108452250274424
"727","SKIV2L",260,0.0570801317233809
"728","HIRA",425,0.0933040614709111
"729","ATPAF2",101,0.0221734357848518
"730","TGDS",279,0.061251372118551
"731","NPM1",364,0.0799121844127333
"732","BBS5",180,0.0395170142700329
"733","MTHFS",59,0.0129527991218441
"734","CPLANE1",623,0.136772777167947
"735","TRNW",525,0.115257958287596
"736","ZC4H2",483,0.106037321624588
"737","CIC",150,0.0329308452250274
"738","WWOX",503,0.110428100987925
"739","KMT2D",491,0.107793633369923
"740","AARS1",283,0.0621295279912184
"741","MYPN",482,0.105817782656422
"742","GRIA3",258,0.0566410537870472
"743","USF3",208,0.0456641053787047
"744","STIM1",307,0.0673984632272228
"745","PHKG2",205,0.0450054884742042
"746","AP4B1",268,0.0588364434687157
"747","PPP2R3C",205,0.0450054884742042
"748","PEX16",625,0.137211855104281
"749","ZNF469",247,0.0542261251372119
"750","POF1B",39,0.00856201975850713
"751","TREX1",792,0.173874862788145
"752","AKT1",1155,0.253567508232711
"753","AAAS",235,0.0515916575192097
"754","IFT122",373,0.0818880351262349
"755","TINF2",637,0.139846322722283
"756","MGAT2",213,0.046761800219539
"757","EDNRB",360,0.0790340285400659
"758","COX4I1",122,0.0267837541163557
"759","HDAC8",719,0.157848518111965
"760","DYNC2I1",409,0.0897914379802415
"761","FANCL",471,0.103402854006586
"762","NDUFB11",613,0.134577387486279
"763","AUTS2",328,0.0720087815587267
"764","KDM1A",374,0.0821075740944018
"765","FGFR2",3216,0.706037321624588
"766","MCTP2",273,0.0599341383095499
"767","WDR62",159,0.0349066959385291
"768","CCNQ",320,0.0702524698133919
"769","SLC29A3",575,0.126234906695939
"770","SHPK",124,0.0272228320526894
"771","CTNS",518,0.113721185510428
"772","GBA",1423,0.312403951701427
"773","PHF6",306,0.067178924259056
"774","GLI1",238,0.0522502744237102
"775","SLC4A1",367,0.0805708013172338
"776","MAPK1",525,0.115257958287596
"777","NUP133",240,0.0526893523600439
"778","LHX3",186,0.040834248079034
"779","CHSY1",331,0.0726673984632272
"780","DKC1",535,0.117453347969265
"781","NIN",219,0.0480790340285401
"782","VLDLR",122,0.0267837541163557
"783","KDSR",151,0.0331503841931943
"784","HCN1",288,0.0632272228320527
"785","CRTAP",126,0.0276619099890231
"786","BMP15",140,0.0307354555433589
"787","RIPPLY2",184,0.0403951701427003
"788","KCNH1",690,0.151481888035126
"789","TUBB2B",197,0.0432491767288694
"790","BDNF",133,0.029198682766191
"791","BRF1",362,0.0794731064763996
"792","MYH8",159,0.0349066959385291
"793","MAP3K20",254,0.0557628979143798
"794","TIMM50",181,0.0397365532381998
"795","THOC2",274,0.0601536772777168
"796","YWHAG",180,0.0395170142700329
"797","ASAH1",507,0.111306256860593
"798","OFD1",1270,0.278814489571899
"799","MTX2",256,0.0562019758507135
"800","POLA1",371,0.0814489571899012
"801","TMEM67",1093,0.239956092206367
"802","SEC23B",298,0.0654226125137212
"803","HMGB3",69,0.0151481888035126
"804","TRNK",550,0.120746432491767
"805","CDK6",113,0.024807903402854
"806","PDE6D",323,0.0709110867178924
"807","CSNK2B",170,0.0373216245883644
"808","DHPS",105,0.0230515916575192
"809","KMT2E",394,0.0864983534577387
"810","WHCR",375,0.0823271130625686
"811","ALPL",289,0.0634467618002195
"812","PUS7",101,0.0221734357848518
"813","DDOST",147,0.0322722283205269
"814","LRP4",551,0.120965971459934
"815","AP4S1",251,0.0551042810098793
"816","RNPC3",47,0.0103183315038419
"817","SLC6A19",198,0.0434687156970362
"818","FBXL3",91,0.0199780461031833
"819","COL9A2",253,0.055543358946213
"820","MYSM1",250,0.0548847420417124
"821","PMPCA",168,0.0368825466520307
"822","NUP107",523,0.114818880351262
"823","MYT1L",703,0.154335894621295
"824","OCA2",996,0.218660812294182
"825","MACF1",81,0.0177826564215148
"826","PWAR1",270,0.0592755214050494
"827","PTDSS1",450,0.0987925356750823
"828","DLL3",221,0.0485181119648738
"829","SDHAF1",196,0.0430296377607025
"830","SDCCAG8",286,0.062788144895719
"831","GPC6",276,0.0605927552140505
"832","ARCN1",144,0.0316136114160263
"833","RAB23",438,0.0961580680570801
"834","TGFB1",634,0.139187705817783
"835","TRAPPC4",349,0.0766190998902305
"836","COX1",413,0.0906695938529089
"837","CUL4B",396,0.0869374313940725
"838","PCNA",165,0.0362239297475302
"839","DACT1",385,0.0845225027442371
"840","TRIP11",487,0.106915477497256
"841","PIGL",653,0.143358946212953
"842","HNRNPH2",128,0.0281009879253568
"843","MESD",113,0.024807903402854
"844","GHSR",58,0.0127332601536773
"845","CWC27",174,0.0381997804610318
"846","PRDM16",420,0.0922063666300768
"847","ADAT3",382,0.0838638858397366
"848","CCDC22",439,0.096377607025247
"849","CDKN1B",450,0.0987925356750823
"850","TNFRSF11A",445,0.0976948408342481
"851","CHRNA7",167,0.0366630076838639
"852","SRP54",520,0.114160263446762
"853","ITCH",358,0.0785949506037322
"854","GM2A",161,0.0353457738748628
"855","CDT1",302,0.0663007683863886
"856","WDR73",442,0.0970362239297475
"857","ORC1",467,0.102524698133919
"858","ADAMTSL2",165,0.0362239297475302
"859","TRH",41,0.00900109769484083
"860","CDKN2B",281,0.0616904500548847
"861","RB1",288,0.0632272228320527
"862","DEAF1",584,0.12821075740944
"863","SALL1",524,0.115038419319429
"864","WNT1",73,0.01602634467618
"865","ATP6V0A2",881,0.193413830954995
"866","ALMS1",598,0.131284302963776
"867","SATB2",777,0.170581778265642
"868","CHD7",1098,0.241053787047201
"869","ASH1L",171,0.0375411635565313
"870","RNASEH2A",358,0.0785949506037322
"871","TWIST1",757,0.166190998902305
"872","ESS2",165,0.0362239297475302
"873","KCNQ1",372,0.0816684961580681
"874","TBX2",152,0.0333699231613611
"875","RUNX2",511,0.11218441273326
"876","PYCR1",342,0.0750823271130626
"877","COLEC10",262,0.0575192096597146
"878","GSC",146,0.03205268935236
"879","ADNP",437,0.0959385290889133
"880","GJB2",564,0.123819978046103
"881","CREBBP",1372,0.301207464324918
"882","CA8",60,0.013172338090011
"883","KAT6A",483,0.106037321624588
"884","SLC6A8",265,0.0581778265642151
"885","ZNF148",142,0.0311745334796926
"886","BBS7",162,0.0355653128430296
"887","SDHB",1037,0.227661909989023
"888","RNF113A",477,0.104720087815587
"889","KIF15",248,0.0544456641053787
"890","MARS2",225,0.0493962678375412
"891","DDHD2",191,0.0419319429198683
"892","KNL1",145,0.0318331503841932
"893","MYO18B",125,0.0274423710208562
"894","CENPJ",331,0.0726673984632272
"895","TMCO1",414,0.0908891328210757
"896","HBA2",260,0.0570801317233809
"897","G6PC1",119,0.0261251372118551
"898","PDE3A",74,0.0162458836443469
"899","MTOR",403,0.0884742041712404
"900","RTEL1",477,0.104720087815587
"901","HERC2",355,0.0779363336992316
"902","COG4",490,0.107574094401756
"903","NEK1",544,0.119429198682766
"904","PCCA",197,0.0432491767288694
"905","CAMK2A",193,0.042371020856202
"906","CDK10",183,0.0401756311745335
"907","BRCA1",658,0.144456641053787
"908","OTUD6B",401,0.0880351262349067
"909","SCN8A",333,0.0731064763995609
"910","NPAP1",270,0.0592755214050494
"911","PISD",66,0.0144895718990121
"912","KIF11",317,0.0695938529088913
"913","DNAJC3",125,0.0274423710208562
"914","AMER1",474,0.104061470911087
"915","SETD2",548,0.120307354555434
"916","KMT2C",252,0.0553238199780461
"917","TRIM37",165,0.0362239297475302
"918","RSPH4A",212,0.0465422612513721
"919","PCYT1A",274,0.0601536772777168
"920","AGGF1",116,0.0254665203073546
"921","HYOU1",121,0.0265642151481888
"922","INTU",350,0.0768386388583974
"923","GRIN1",420,0.0922063666300768
"924","PROK2",340,0.0746432491767289
"925","WIPI2",81,0.0177826564215148
"926","COA3",46,0.0100987925356751
"927","TGM1",307,0.0673984632272228
"928","EBP",686,0.150603732162459
"929","FAM149B1",294,0.0645444566410538
"930","RAB3GAP1",446,0.0979143798024149
"931","P4HTM",159,0.0349066959385291
"932","SLC12A1",131,0.0287596048298573
"933","ITGB6",128,0.0281009879253568
"934","WDFY3",304,0.0667398463227223
"935","PAX1",187,0.0410537870472009
"936","STAG1",258,0.0566410537870472
"937","BBS10",170,0.0373216245883644
"938","C8ORF37",415,0.0911086717892426
"939","GPD1",34,0.00746432491767289
"940","DDX58",19,0.00417124039517014
"941","BPNT2",93,0.020417124039517
"942","NDE1",303,0.0665203073545554
"943","NHP2",369,0.0810098792535675
"944","MAPK8IP3",156,0.0342480790340285
"945","VDR",256,0.0562019758507135
"946","AHSG",118,0.0259055982436883
"947","RAD50",82,0.0180021953896817
"948","MGP",312,0.0684961580680571
"949","SVBP",447,0.0981339187705818
"950","SPART",291,0.0638858397365532
"951","CACNA1B",208,0.0456641053787047
"952","SLC13A5",298,0.0654226125137212
"953","CDKN1C",515,0.113062568605928
"954","KDM5B",349,0.0766190998902305
"955","PEX3",608,0.133479692645445
"956","MKS1",1031,0.226344676180022
"957","BBS9",193,0.042371020856202
"958","SAMHD1",350,0.0768386388583974
"959","EXOC6B",233,0.051152579582876
"960","DLX5",150,0.0329308452250274
"961","VPS53",146,0.03205268935236
"962","BMP1",118,0.0259055982436883
"963","HIVEP2",214,0.0469813391877058
"964","RERE",837,0.183754116355653
"965","NKAP",118,0.0259055982436883
"966","ZMIZ1",512,0.112403951701427
"967","MPV17",203,0.0445664105378705
"968","RPS17",289,0.0634467618002195
"969","TCIRG1",597,0.131064763995609
"970","SET",201,0.0441273326015368
"971","BBS12",165,0.0362239297475302
"972","ZMYND11",157,0.0344676180021954
"973","NOP10",322,0.0706915477497256
"974","ASL",127,0.0278814489571899
"975","COG7",220,0.0482985729967069
"976","FXR1",128,0.0281009879253568
"977","COL9A1",301,0.0660812294182217
"978","COL6A3",489,0.107354555433589
"979","EFNB1",399,0.087596048298573
"980","MCM3AP",82,0.0180021953896817
"981","ROBO1",75,0.0164654226125137
"982","TOP3A",134,0.0294182217343579
"983","FKBP14",207,0.0454445664105379
"984","RFC2",568,0.124698133918771
"985","MECP2",1058,0.232272228320527
"986","FOS",155,0.0340285400658617
"987","PORCN",583,0.127991218441273
"988","NPHP3",423,0.0928649835345774
"989","NDUFA4",191,0.0419319429198683
"990","GJB4",128,0.0281009879253568
"991","MRPS25",76,0.0166849615806806
"992","COX2",354,0.0777167947310648
"993","AGPAT2",305,0.0669593852908891
"994","SELENOI",222,0.0487376509330406
"995","PAPSS2",68,0.0149286498353458
"996","NCAPD2",36,0.00790340285400659
"997","MYMK",345,0.0757409440175631
"998","BBIP1",167,0.0366630076838639
"999","CDKN1A",240,0.0526893523600439
"1000","TNNI2",266,0.058397365532382
"1001","CASR",406,0.0891328210757409
"1002","INTS1",162,0.0355653128430296
"1003","RPL11",403,0.0884742041712404
"1004","PAM16",134,0.0294182217343579
"1005","HOXD13",713,0.156531284302964
"1006","USP7",277,0.0608122941822173
"1007","CTC1",385,0.0845225027442371
"1008","BRAF",1503,0.329967069154775
"1009","GABRD",504,0.110647639956092
"1010","MMP2",361,0.0792535675082327
"1011","LARP7",185,0.0406147091108672
"1012","CSGALNACT1",213,0.046761800219539
"1013","GARS1",244,0.0535675082327113
"1014","RAB18",367,0.0805708013172338
"1015","CSPP1",764,0.167727771679473
"1016","CRKL",262,0.0575192096597146
"1017","FGF23",161,0.0353457738748628
"1018","GABRA5",206,0.045225027442371
"1019","DLK1",1011,0.221953896816685
"1020","TERT",1142,0.250713501646542
"1021","SNORD116-1",270,0.0592755214050494
"1022","POLR3H",107,0.0234906695938529
"1023","TTC21B",156,0.0342480790340285
"1024","RFWD3",462,0.101427003293085
"1025","PPIB",69,0.0151481888035126
"1026","SUMF1",326,0.071569703622393
"1027","ADAR",448,0.0983534577387486
"1028","ANTXR1",393,0.0862788144895719
"1029","ELP2",49,0.0107574094401756
"1030","NKX2-5",636,0.139626783754116
"1031","CYB5A",253,0.055543358946213
"1032","PAX6",628,0.137870472008782
"1033","ANK1",301,0.0660812294182217
"1034","PRKAR1A",1170,0.256860592755214
"1035","SCNN1A",314,0.0689352360043908
"1036","GRM7",148,0.0324917672886937
"1037","HNRNPK",768,0.168605927552141
"1038","CDH15",135,0.0296377607025247
"1039","STRADA",235,0.0515916575192097
"1040","RPL13",51,0.0111964873765093
"1041","VAC14",448,0.0983534577387486
"1042","LOXL3",89,0.0195389681668496
"1043","ANOS1",381,0.0836443468715697
"1044","APC2",514,0.112843029637761
"1045","CYFIP2",218,0.0478594950603732
"1046","AFF4",451,0.0990120746432492
"1047","DDRGK1",222,0.0487376509330406
"1048","SKI",837,0.183754116355653
"1049","GNRHR",178,0.0390779363336992
"1050","CPLX1",535,0.117453347969265
"1051","STRA6",238,0.0522502744237102
"1052","LZTFL1",189,0.0414928649835346
"1053","UBE3B",428,0.0939626783754116
"1054","WRAP53",240,0.0526893523600439
"1055","CUX1",144,0.0316136114160263
"1056","TPO",80,0.017563117453348
"1057","GTF2E2",440,0.0965971459934138
"1058","CYBC1",220,0.0482985729967069
"1059","XPC",261,0.0572996706915477
"1060","AIP",620,0.136114160263447
"1061","CLTC",342,0.0750823271130626
"1062","PGAP1",257,0.0564215148188804
"1063","TPRKB",217,0.0476399560922064
"1064","SEMA5A",127,0.0278814489571899
"1065","AMPD2",189,0.0414928649835346
"1066","TELO2",295,0.0647639956092206
"1067","BMPER",248,0.0544456641053787
"1068","SLC2A1",671,0.147310647639956
"1069","FANCM",419,0.09198682766191
"1070","RAD51",492,0.10801317233809
"1071","CDKN2C",240,0.0526893523600439
"1072","LHCGR",87,0.0190998902305159
"1073","ARV1",175,0.0384193194291987
"1074","H19-ICR",359,0.078814489571899
"1075","PIK3C2A",354,0.0777167947310648
"1076","XRCC2",488,0.107135016465423
"1077","RAD51C",480,0.105378704720088
"1078","NAT8L",57,0.0125137211855104
"1079","GK",110,0.0241492864983535
"1080","DSTYK",177,0.0388583973655324
"1081","TRNQ",402,0.0882546652030735
"1082","CUL7",345,0.0757409440175631
"1083","RPS10",267,0.0586169045005488
"1084","GRIA4",106,0.0232711306256861
"1085","RPS24",268,0.0588364434687157
"1086","EMG1",174,0.0381997804610318
"1087","HDAC4",379,0.083205268935236
"1088","IRS4",30,0.00658616904500549
"1089","PHEX",246,0.054006586169045
"1090","GATA4",733,0.160922063666301
"1091","GLE1",373,0.0818880351262349
"1092","BCR",334,0.0733260153677278
"1093","YWHAE",216,0.0474204171240395
"1094","ERF",408,0.0895718990120746
"1095","GJA1",1260,0.276619099890231
"1096","IFT140",466,0.102305159165752
"1097","IDH2",203,0.0445664105378705
"1098","ATR",420,0.0922063666300768
"1099","DMP1",165,0.0362239297475302
"1100","CEP290",885,0.194291986827662
"1101","CYP11B1",351,0.0770581778265642
"1102","CEP135",116,0.0254665203073546
"1103","PYCR2",439,0.096377607025247
"1104","SERPINH1",128,0.0281009879253568
"1105","TFAP2A",484,0.106256860592755
"1106","GRIN2B",248,0.0544456641053787
"1107","NFE2L2",61,0.0133918770581778
"1108","SLC1A2",225,0.0493962678375412
"1109","TUBB",360,0.0790340285400659
"1110","KISS1",165,0.0362239297475302
"1111","NEU1",594,0.130406147091109
"1112","PYGL",121,0.0265642151481888
"1113","SARS1",149,0.0327113062568606
"1114","ACTA2",291,0.0638858397365532
"1115","C1R",166,0.036443468715697
"1116","DCHS1",443,0.0972557628979144
"1117","SCNN1B",302,0.0663007683863886
"1118","LMBR1",630,0.138309549945115
"1119","NPHP1",502,0.110208562019759
"1120","UBE3A",711,0.15609220636663
"1121","TLK2",133,0.029198682766191
"1122","HSD11B2",121,0.0265642151481888
"1123","TRAPPC11",438,0.0961580680570801
"1124","FBXO11",128,0.0281009879253568
"1125","RPS23",96,0.0210757409440176
"1126","UROS",220,0.0482985729967069
"1127","PRMT7",334,0.0733260153677278
"1128","ATRIP",129,0.0283205268935236
"1129","NRTN",70,0.0153677277716795
"1130","MYH7",803,0.17628979143798
"1131","LETM1",685,0.150384193194292
"1132","ND4",547,0.120087815587267
"1133","RPS15A",287,0.0630076838638858
"1134","EPB41L1",133,0.029198682766191
"1135","KIF14",271,0.0594950603732162
"1136","AIMP2",115,0.0252469813391877
"1137","KCNJ1",160,0.0351262349066959
"1138","COL9A3",248,0.0544456641053787
"1139","CLCN7",607,0.133260153677278
"1140","ECE1",186,0.040834248079034
"1141","ZBTB24",194,0.0425905598243688
"1142","WT1",974,0.213830954994512
"1143","SLX4",470,0.103183315038419
"1144","FANCC",538,0.118111964873765
"1145","MMP9",65,0.0142700329308452
"1146","KIF22",289,0.0634467618002195
"1147","FMR1",567,0.124478594950604
"1148","SLC10A7",138,0.0302963776070252
"1149","CASP8",129,0.0283205268935236
"1150","KIFBP",272,0.0597145993413831
"1151","CCND1",302,0.0663007683863886
"1152","OBSL1",294,0.0645444566410538
"1153","SEC24C",425,0.0933040614709111
"1154","TBL1XR1",560,0.122941822173436
"1155","TRMT1",358,0.0785949506037322
"1156","IDH1",187,0.0410537870472009
"1157","ESR1",183,0.0401756311745335
"1158","TONSL",297,0.0652030735455543
"1159","CYP2R1",262,0.0575192096597146
"1160","STAMBP",160,0.0351262349066959
"1161","DYNC1I2",109,0.0239297475301866
"1162","COX3",473,0.10384193194292
"1163","SON",510,0.111964873765093
"1164","CAVIN1",302,0.0663007683863886
"1165","KDM5C",343,0.0753018660812294
"1166","SHANK3",487,0.106915477497256
"1167","HAAO",112,0.0245883644346872
"1168","RLIM",461,0.101207464324918
"1169","PCCB",197,0.0432491767288694
"1170","TNFRSF11B",223,0.0489571899012075
"1171","RREB1",425,0.0933040614709111
"1172","MBTPS1",56,0.0122941822173436
"1173","DHCR7",763,0.167508232711306
"1174","LHX1",86,0.0188803512623491
"1175","DMXL2",454,0.0996706915477497
"1176","TRNS2",451,0.0990120746432492
"1177","CEP57",460,0.100987925356751
"1178","ORAI1",191,0.0419319429198683
"1179","PKP1",139,0.0305159165751921
"1180","COG5",284,0.0623490669593853
"1181","RPL27",268,0.0588364434687157
"1182","DUOXA2",86,0.0188803512623491
"1183","CDIN1",51,0.0111964873765093
"1184","SEMA3D",70,0.0153677277716795
"1185","YME1L1",101,0.0221734357848518
"1186","FAM20C",287,0.0630076838638858
"1187","LONP1",566,0.124259055982437
"1188","EBF3",225,0.0493962678375412
"1189","ALG12",220,0.0482985729967069
"1190","CDCA7",216,0.0474204171240395
"1191","SIX2",80,0.017563117453348
"1192","SNAP29",240,0.0526893523600439
"1193","CNKSR2",339,0.074423710208562
"1194","PCLO",123,0.0270032930845225
"1195","SAMD9",264,0.0579582875960483
"1196","SHOC2",256,0.0562019758507135
"1197","VCP",912,0.200219538968167
"1198","CYP27B1",305,0.0669593852908891
"1199","SALL4",975,0.214050493962678
"1200","PREPL",207,0.0454445664105379
"1201","SLC9A1",40,0.00878155872667398
"1202","STS",155,0.0340285400658617
"1203","SCNN1G",285,0.0625686059275521
"1204","GNPAT",115,0.0252469813391877
"1205","KATNIP",265,0.0581778265642151
"1206","STAR",153,0.033589462129528
"1207","RRAS",218,0.0478594950603732
"1208","SIX6",194,0.0425905598243688
"1209","KIRREL3",126,0.0276619099890231
"1210","PTRH2",379,0.083205268935236
"1211","LMNB1",371,0.0814489571899012
"1212","SYNGAP1",442,0.0970362239297475
"1213","GNPTG",95,0.0208562019758507
"1214","SPINK5",218,0.0478594950603732
"1215","SEC23A",276,0.0605927552140505
"1216","KBTBD13",190,0.0417124039517014
"1217","PHKB",28,0.00614709110867179
"1218","PGM3",431,0.0946212952799122
"1219","HLA-DQA1",199,0.0436882546652031
"1220","CACNA1A",656,0.144017563117453
"1221","TBX1",1548,0.339846322722283
"1222","DDR2",358,0.0785949506037322
"1223","KDELR2",78,0.0171240395170143
"1224","JMJD1C",425,0.0933040614709111
"1225","KCNQ1OT1",242,0.0531284302963776
"1226","DUOX2",96,0.0210757409440176
"1227","MAN2B1",649,0.142480790340285
"1228","CEP63",114,0.0250274423710209
"1229","KCNQ5",152,0.0333699231613611
"1230","DICER1",229,0.0502744237102086
"1231","MTM1",242,0.0531284302963776
"1232","MPL",458,0.100548847420417
"1233","MFAP5",201,0.0441273326015368
"1234","GALNT2",181,0.0397365532381998
"1235","NELFA",310,0.0680570801317234
"1236","BAZ1B",568,0.124698133918771
"1237","HADH",216,0.0474204171240395
"1238","CACNG2",133,0.029198682766191
"1239","SPECC1L",575,0.126234906695939
"1240","TBC1D23",122,0.0267837541163557
"1241","AVPR2",166,0.036443468715697
"1242","FAM20A",94,0.0206366630076839
"1243","B3GAT3",305,0.0669593852908891
"1244","GRHL2",132,0.0289791437980241
"1245","CHAMP1",242,0.0531284302963776
"1246","PHC1",105,0.0230515916575192
"1247","TG",101,0.0221734357848518
"1248","TNNT3",236,0.0518111964873765
"1249","CLPP",52,0.0114160263446762
"1250","FLII",272,0.0597145993413831
"1251","HNF1B",363,0.0796926454445664
"1252","PEX7",461,0.101207464324918
"1253","ITGA7",228,0.0500548847420417
"1254","KIAA0753",281,0.0616904500548847
"1255","CDSN",53,0.011635565312843
"1256","DIAPH1",69,0.0151481888035126
"1257","JAK1",85,0.0186608122941822
"1258","CAMK2B",179,0.0392974753018661
"1259","TAC3",161,0.0353457738748628
"1260","MCM9",19,0.00417124039517014
"1261","PRKACA",209,0.0458836443468716
"1262","TRHR",91,0.0199780461031833
"1263","TBX3",360,0.0790340285400659
"1264","HS2ST1",274,0.0601536772777168
"1265","RPL5",362,0.0794731064763996
"1266","IQSEC1",163,0.0357848518111965
"1267","NBAS",165,0.0362239297475302
"1268","HNF4A",408,0.0895718990120746
"1269","AGL",110,0.0241492864983535
"1270","ALDOA",78,0.0171240395170143
"1271","CHRNG",574,0.126015367727772
"1272","UNC80",378,0.0829857299670692
"1273","NR2F1",176,0.0386388583973655
"1274","BCORL1",373,0.0818880351262349
"1275","DDB2",254,0.0557628979143798
"1276","ADH5",108,0.0237102085620198
"1277","MRE11",220,0.0482985729967069
"1278","FGFRL1",375,0.0823271130625686
"1279","SETD1A",156,0.0342480790340285
"1280","AP4M1",267,0.0586169045005488
"1281","ACER3",110,0.0241492864983535
"1282","SIK3",149,0.0327113062568606
"1283","KCNMA1",271,0.0594950603732162
"1284","TAOK1",126,0.0276619099890231
"1285","ABCB11",179,0.0392974753018661
"1286","EZH2",419,0.09198682766191
"1287","NTRK2",271,0.0594950603732162
"1288","NSMF",341,0.0748627881448957
"1289","IQSEC2",616,0.135236004390779
"1290","TCF4",982,0.215587266739846
"1291","SMARCD1",383,0.0840834248079034
"1292","NLRC4",139,0.0305159165751921
"1293","COPB2",139,0.0305159165751921
"1294","ARVCF",425,0.0933040614709111
"1295","PDGFRB",485,0.106476399560922
"1296","TMEM216",839,0.184193194291987
"1297","PLEC",688,0.151042810098793
"1298","WDPCP",447,0.0981339187705818
"1299","LARS2",156,0.0342480790340285
"1300","HBA1",276,0.0605927552140505
"1301","DUSP6",348,0.0763995609220637
"1302","TRAF3IP1",148,0.0324917672886937
"1303","CHD8",59,0.0129527991218441
"1304","KDM3B",146,0.03205268935236
"1305","FGF3",261,0.0572996706915477
"1306","FSHR",217,0.0476399560922064
"1307","RNF168",222,0.0487376509330406
"1308","ADAMTS17",31,0.00680570801317234
"1309","SEC61A1",65,0.0142700329308452
"1310","CREB3L1",59,0.0129527991218441
"1311","BUB3",257,0.0564215148188804
"1312","COX8A",119,0.0261251372118551
"1313","NOTCH3",628,0.137870472008782
"1314","GRIN2A",415,0.0911086717892426
"1315","ATP8A2",74,0.0162458836443469
"1316","ATP8B1",209,0.0458836443468716
"1317","TRNP",92,0.0201975850713502
"1318","MED13L",362,0.0794731064763996
"1319","EYA1",536,0.117672886937431
"1320","ACTL6A",279,0.061251372118551
"1321","OGDH",63,0.0138309549945115
"1322","FBXW11",442,0.0970362239297475
"1323","AIFM1",575,0.126234906695939
"1324","GJB3",152,0.0333699231613611
"1325","HUWE1",263,0.0577387486278814
"1326","BGN",246,0.054006586169045
"1327","DDX6",502,0.110208562019759
"1328","TTC8",340,0.0746432491767289
"1329","INTS8",79,0.0173435784851811
"1330","NIPAL4",162,0.0355653128430296
"1331","MSMO1",79,0.0173435784851811
"1332","POC1A",169,0.0371020856201976
"1333","DYNLT2B",22,0.00482985729967069
"1334","NECAP1",170,0.0373216245883644
"1335","MIR17HG",84,0.0184412733260154
"1336","SNORD115-1",270,0.0592755214050494
"1337","SUCLA2",237,0.0520307354555434
"1338","KCNB1",188,0.0412733260153677
"1339","AGA",348,0.0763995609220637
"1340","CA2",209,0.0458836443468716
"1341","ESCO2",638,0.14006586169045
"1342","AFF2",120,0.026344676180022
"1343","METTL5",179,0.0392974753018661
"1344","ATP6V1B2",415,0.0911086717892426
"1345","RNF216",128,0.0281009879253568
"1346","TRPM3",126,0.0276619099890231
"1347","SLC34A1",208,0.0456641053787047
"1348","NUP85",34,0.00746432491767289
"1349","SPRY4",339,0.074423710208562
"1350","RNASEH2B",312,0.0684961580680571
"1351","KISS1R",381,0.0836443468715697
"1352","GMPPA",185,0.0406147091108672
"1353","WASHC5",619,0.13589462129528
"1354","MAST1",48,0.0105378704720088
"1355","AP1B1",111,0.0243688254665203
"1356","CHD4",171,0.0375411635565313
"1357","HCFC1",260,0.0570801317233809
"1358","RPS29",270,0.0592755214050494
"1359","SLC5A5",116,0.0254665203073546
"1360","FOXE3",247,0.0542261251372119
"1361","ATP7A",770,0.169045005488474
"1362","EDN3",336,0.0737650933040615
"1363","DGCR6",165,0.0362239297475302
"1364","SPOP",354,0.0777167947310648
"1365","CC2D2A",801,0.175850713501647
"1366","RPGRIP1L",792,0.173874862788145
"1367","LAMB3",383,0.0840834248079034
"1368","ACTG2",270,0.0592755214050494
"1369","WNT3",267,0.0586169045005488
"1370","TMEM231",615,0.135016465422613
"1371","ARL3",437,0.0959385290889133
"1372","LMOD1",66,0.0144895718990121
"1373","B9D2",291,0.0638858397365532
"1374","SIX1",407,0.0893523600439078
"1375","ARL6IP6",130,0.0285400658616905
"1376","CHRM3",220,0.0482985729967069
"1377","TCTN2",530,0.11635565312843
"1378","FRAS1",462,0.101427003293085
"1379","B9D1",426,0.0935236004390779
"1380","CEP55",347,0.0761800219538968
"1381","LAMC2",407,0.0893523600439078
"1382","LAMA3",392,0.086059275521405
"1383","PAX2",185,0.0406147091108672
"1384","SIX5",125,0.0274423710208562
"1385","FREM2",281,0.0616904500548847
"1386","PIGN",840,0.184412733260154
"1387","TMEM107",371,0.0814489571899012
"1388","GREB1L",114,0.0250274423710209
"1389","GRIP1",285,0.0625686059275521
"1390","RPGRIP1",349,0.0766190998902305
"1391","INPP5E",778,0.170801317233809
"1392","TBX18",38,0.00834248079034029
"1393","RSPO2",273,0.0599341383095499
"1394","KRT5",538,0.118111964873765
"1395","CXCR4",219,0.0480790340285401
"1396","CHCHD2",25,0.00548847420417124
"1397","OPCML",24,0.00526893523600439
"1398","MAFB",457,0.10032930845225
"1399","CTSB",41,0.00900109769484083
"1400","NOTCH1",357,0.0783754116355653
"1401","AP1S3",13,0.00285400658616904
"1402","AGBL1",6,0.0013172338090011
"1403","CHRNA4",71,0.0155872667398463
"1404","RPS14",63,0.0138309549945115
"1405","CLCN2",102,0.0223929747530187
"1406","SCN5A",306,0.067178924259056
"1407","SNRNP200",132,0.0289791437980241
"1408","IL6",195,0.0428100987925357
"1409","UNC45B",7,0.00153677277716795
"1410","KCNK9",269,0.0590559824368825
"1411","PDX1",251,0.0551042810098793
"1412","WFS1",416,0.0913282107574094
"1413","PRLR",76,0.0166849615806806
"1414","PPP2CA",128,0.0281009879253568
"1415","TNXB",185,0.0406147091108672
"1416","CDH1",327,0.0717892425905598
"1417","CRYBB1",44,0.00965971459934138
